************************************************************************
svchost.exe pid:   1384
Command line : C:\WINDOWS\System32\svchost.exe -k HTTPFilter
Service Pack 2

Base             Size  LoadCount LoadTime                       Path
---------- ---------- ---------- ------------------------------ ----
0x01000000     0x6000     0xffff                                C:\WINDOWS\System32\svchost.exe
0x7c900000    0xb0000     0xffff                                C:\WINDOWS\system32\ntdll.dll
0x7c800000    0xf4000     0xffff                                C:\WINDOWS\system32\kernel32.dll
0x77dd0000    0x9b000     0xffff                                C:\WINDOWS\system32\ADVAPI32.dll
0x77e70000    0x91000     0xffff                                C:\WINDOWS\system32\RPCRT4.dll
0x5cb70000    0x26000        0x1                                C:\WINDOWS\System32\ShimEng.dll
0x6f880000   0x1ca000        0x1                                C:\WINDOWS\AppPatch\AcGenral.DLL
0x77d40000    0x90000       0x3b                                C:\WINDOWS\system32\USER32.dll
0x77f10000    0x46000       0x29                                C:\WINDOWS\system32\GDI32.dll
0x76b40000    0x2d000        0x2                                C:\WINDOWS\System32\WINMM.dll
0x774e0000   0x13c000        0x6                                C:\WINDOWS\system32\ole32.dll
0x77c10000    0x58000       0x30                                C:\WINDOWS\system32\msvcrt.dll
0x77120000    0x8c000        0x2                                C:\WINDOWS\system32\OLEAUT32.dll
0x77be0000    0x15000        0x1                                C:\WINDOWS\System32\MSACM32.dll
0x77c00000     0x8000        0x2                                C:\WINDOWS\system32\VERSION.dll
0x7c9c0000   0x814000        0x2                                C:\WINDOWS\system32\SHELL32.dll
0x77f60000    0x76000        0x9                                C:\WINDOWS\system32\SHLWAPI.dll
0x769c0000    0xb3000        0x2                                C:\WINDOWS\system32\USERENV.dll
0x5ad70000    0x38000        0x1                                C:\WINDOWS\System32\UxTheme.dll
0x773d0000   0x102000        0x2                                C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9\comctl32.dll
0x5d090000    0x97000        0x1                                C:\WINDOWS\system32\comctl32.dll
0x76bf0000     0xb000        0x1                                C:\WINDOWS\System32\psapi.dll
0x771b0000    0xa6000        0x1                                C:\WINDOWS\system32\wininet.dll
0x77a80000    0x94000        0x4                                C:\WINDOWS\system32\CRYPT32.dll
0x77b20000    0x12000        0x4                                C:\WINDOWS\system32\MSASN1.dll
0x71ab0000    0x17000        0x7                                C:\WINDOWS\System32\ws2_32.dll
0x71aa0000     0x8000        0x7                                C:\WINDOWS\System32\WS2HELP.dll
0x71ad0000     0x9000        0x1                                C:\WINDOWS\System32\wsock32.dll
0x77fe0000    0x11000        0x5                                C:\WINDOWS\System32\secur32.dll
0x5b860000    0x54000        0x1                                C:\WINDOWS\system32\netapi32.dll
0x0ffd0000    0x28000        0x1                                C:\WINDOWS\System32\rsaenh.dll
0x77690000    0x21000        0x1                                C:\WINDOWS\System32\NTMARTA.DLL
0x76f60000    0x2c000        0x1                                C:\WINDOWS\system32\WLDAP32.dll
0x71bf0000    0x13000        0x1                                C:\WINDOWS\System32\SAMLIB.dll
0x20000000   0x2c5000        0x1                                C:\WINDOWS\System32\xpsp2res.dll
0x5aa90000     0x7000        0x1                                c:\windows\system32\w3ssl.dll
0x6f290000    0x16000        0x2                                C:\WINDOWS\System32\strmfilt.dll
0x67570000     0x9000        0x2                                C:\WINDOWS\System32\HTTPAPI.dll
